ins_code,isin,cisin,l18,l30
71980027636215726,IRR3DPDZ0101,IRR3DPDZ0104,دتوزیعح,ح . توزیع دارو پخش
18093681647131179,IRO3DTDZ0001,IRO3DTDZ0008,دتولید,داروسازی تولید دارو
9925324137489171,IRR3DTDZ0101,IRR3DTDZ0100,دتولیدح,ح. داروسازی تولید دارو
33406621820337161,IRO1DJBR0001,IRO1DJBR0004,دجابر,داروسازی‌ جابرابن‌حیان‌
43374709930371268,IRO7DHVP0001,IRO7DHVP0008,دحاوی,الحاوی
66450490505950110,IRO1DAML0001,IRO1DAML0006,ددام,داروسازی زاگرس فارمد پارس
69540585676934415,IRO3DPHZ0001,IRO3DPHZ0008,ددانا,داروسازی دانا
22255783119783047,IRO1DRZK0001,IRO1DRZK0003,درازک,دارویی‌ رازک‌
38007943162762758,IRR1DRZK0101,IRR1DRZK0105,درازکح,ح . دارویی‌ رازک‌
16567465928886309,IRO3PSRZ0001,IRO3PSRZ0009,درازی,پخش رازی
61805666737517582,IRTKDRKS0001,IRTKDRKS0000,درخشان,صندوق س.پشتوانه طلادرخشان آبان
34581754264880199,IRT1DORF0001,IRT1DORF0002,درسا,صندوق سرمایه گذاری درسا - سهام
13243992182070788,IRO3RAPZ0001,IRO3RAPZ0009,درهآور,دارویی ره آورد تامین
59235923797304333,IRR3RAPZ0101,IRR3RAPZ0101,درهآورح,ح . دارویی ره آورد تامین
40262275031537922,IRO1ROZD0001,IRO1ROZD0009,دروز,داروسازی‌ روزدارو
11285885633824855,IRT1DYAF0001,IRT1DYAF0009,دریا,صندوق س دریای آبی فیروزه-سهام
21077182490095731,IRT3DRNF0001,IRT3DRNF0001,درین,صندوق س. درین بها بازار-د
43450146028916610,IRO3ZGDZ0001,IRO3ZGDZ0007,دزاگرس,دارویی و نهاده های زاگرس دارو
8915450910866216,IRO1DZAH0001,IRO1DZAH0007,دزهراوی,داروسازی‌زهراوی‌
48879205486884942,IRR1DZAH0101,IRR1DZAH0109,دزهراویح,ح . ‌داروسازی‌زهراوی‌
47348197320716810,IRO3DSNZ0001,IRO3DSNZ0007,دسانکو,داروسازی سبحان انکولوژی
24082902657114448,IRR3DSNZ0101,IRR3DSNZ0109,دسانکوح,ح . داروسازی سبحان انکولوژی
43622578471330344,IRO1DSOB0001,IRO1DSOB0006,دسبحا,گروه دارویی سبحان
5866848234665627,IRO1DSBH0001,IRO1DSBH0005,دسبحان,سبحان دارو
36667862403660976,IRR1DSBH0101,IRR1DSBH0107,دسبحانح,ح. سبحان دارو
11432067920374603,IRO1DSIN0001,IRO1DSIN0000,دسینا,داروسازی‌ سینا
63084741752814852,IRO7DSHP0001,IRO7DSHP0003,دشیری,شیرین دارو
33603212156438463,IRO1DDPK0001,IRO1DDPK0001,دشیمی,شیمی‌ داروئی‌ داروپخش‌
16630588761222078,IRR1DDPK0101,IRR1DDPK0103,دشیمیح,ح . شیمی‌ داروئی‌ داروپخش‌
49054891736433700,IRO1ABDI0001,IRO1ABDI0004,دعبید,لابراتوارداروسازی‌  دکترعبیدی‌
56550776668133562,IRO1DFRB0001,IRO1DFRB0008,دفارا,داروسازی‌ فارابی‌
38285971158073841,IRR1DFRB0101,IRR1DFRB0100,دفاراح,ح . داروسازی‌ فارابی‌
18303237082155264,IRO1FTIR0001,IRO1FTIR0003,دفرا,فرآورده‌های‌ تزریقی‌ ایران‌
46801030346547943,IRO3GPHP0001,IRO3GPHP0007,دقاضی,داروسازی شهید قاضی
21173014653958212,IRR7GPHP0101,IRR7GPHP0105,دقاضیح,ح . داروسازی شهید قاضی
4384288570322406,IRO1EXIR0001,IRO1EXIR0008,دلر,داروسازی‌ اکسیر
42538255636473499,IRR1EXIR0101,IRR1EXIR0100,دلرح,ح . داروسازی‌ اکسیر
