ins_code,isin,cisin,l18,l30
66219723709595228,IRT3DRYF0001,IRT3DRYF0008,سیمانیا,صندوق س.بخشی صنایع داریا-ب
28450080638096732,IRO1SMRG0001,IRO1SMRG0007,سیمرغ,سیمرغ
31913287805282551,IRT3SSSF0001,IRT3SSSF0008,سیناد,صندوق س.سپهرسودمند سینا-د
15001802434062073,IRTEETFD0001,IRTEETFD0009,سینرژی,ص.س. مبتنی بر کالای فارابی
7711282667602555,IRO1PARK0001,IRO1PARK0008,شاراک,پتروشیمی شازند
3407806799514469,IRO3URPZ0001,IRO3URPZ0005,شاروم,پتروشیمی ارومیه
16959429956899455,IRO1AMLH0001,IRO1AMLH0002,شاملا,معدنی‌ املاح‌  ایران‌
14153483684603257,IRR1AMLH0101,IRR1AMLH0104,شاملاح,ح . معدنی‌ املاح‌  ایران‌
60247433951600827,IRO3PNLZ0001,IRO3PNLZ0000,شاوان,پالایش نفت لاوان
48753732042176709,IRO1PNTB0001,IRO1PNTB0002,شبریز,پالایش نفت تبریز
7632696113249142,IRR1PNTB0101,IRR1PNTB0104,شبریزح,ح. پالایش نفت تبریز
68517032834363488,IRO3BSRZ0001,IRO3BSRZ0005,شبصیر,تولیدات پتروشیمی قائد بصیر
35366681030756042,IRO1PNBA0001,IRO1PNBA0003,شبندر,پالایش نفت بندرعباس
22667016906590506,IRO1NBEH0001,IRO1NBEH0009,شبهرن,نفت‌ بهران‌
64216772923447100,IRT1SHTF0001,IRT1SHTF0002,شتاب,صندوق س سهامی شتاب آگاه-اهرمی
51617145873056483,IRO1PTEH0001,IRO1PTEH0007,شتران,پالایش نفت تهران
31049085025064185,IRO7THSP0001,IRO7THSP0005,شتهران,داروسازی تهران شیمی
66210395067138534,IRO7TOPP0001,IRO7TOPP0009,شتولی,تولی‌پرس‌
38555056423456635,IRO3TPSZ0001,IRO3TPSZ0007,شتوکا,توکا رنگ فولاد سپاهان
28393053173456669,IRR3TPSZ0101,IRR3TPSZ0109,شتوکاح,ح . توکا رنگ فولاد سپاهان
6116572045021585,IRO3TJPZ0001,IRO3TJPZ0008,شجم,صنایع پتروشیمی تخت جمشید
17200458201581900,IRR7TJMP0101,IRR7TJMP0101,شجمح,ح. صنایع پتروشیمی تخت جمشید
70934270174405743,IRO1PKHA0001,IRO1PKHA0000,شخارک,پتروشیمی‌ خارک‌
40611478183231802,IRO1DODE0001,IRO1DODE0000,شدوص,دوده‌ صنعتی‌ پارس‌
32775115857585121,IRR1DODE0101,IRR1DODE0102,شدوصح,ح . دوده‌ صنعتی‌ پارس‌
14031158866706953,IRO1PRZZ0001,IRO1PRZZ0002,شراز,پالایش نفت شیراز
44013656953678055,IRO3NOLZ0001,IRO3NOLZ0001,شرانل,نفت ایرانول
57157873359416943,IRO3SHEP0001,IRO3SHEP0006,شرنگی,شیمیایی رنگین
65490886290565185,IRO7ZNGP0001,IRO7ZNGP0003,شزنگ,تجهیزنیروی‌زنگان‌
15282093177363578,IRO7OECP0001,IRO7OECP0001,شساخت,مهندسی و ساختمان صنایع نفت
57005100184766878,IRR7OECP0101,IRR7OECP0103,شساختح,ح . مهندسی و ساختمان صنایع نفت
2400322364771558,IRO1TAMN0001,IRO1TAMN0006,شستا,سرمایه گذاری تامین اجتماعی
3173544097113770,IRO7STNP0001,IRO7STNP0007,شستان,پتروشیمی شهید رئیسی گلستان
59800986739603675,IRO7TSAP0001,IRO7TSAP0002,شسم,تولید سموم‌ علف‌ کش
49188729526980541,IRO1SEPP0001,IRO1SEPP0008,شسپا,نفت سپاهان
30974710508383145,IRO1SHSI0001,IRO1SHSI0001,شسینا,صنایع‌شیمیایی‌سینا
204092872752957,IRO3SDFZ0001,IRO3SDFZ0007,شصدف,صنعتی دوده فام
67491163253346186,IRR3SDFZ0101,IRR3SDFZ0109,شصدفح,ح . صنعتی دوده فام
18346219759153870,IRO7PESP0001,IRO7PESP0002,شصفها,پتروشیمی‌ اصفهان‌
21772258644715569,IRO1PGDR0001,IRO1PGDR0001,شغدیر,پتروشیمی غدیر
36899214178084525,IRO1SHFA0001,IRO1SHFA0004,شفا,سرمایه گذاری شفادارو
16673205196919832,IRO7FAPP0001,IRO7FAPP0001,شفارا,پتروشیمی فارابی
49163985123560149,IRR7FAPP0101,IRR7FAPP0103,شفاراح,ح . پتروشیمی فارابی
43781018754867729,IRO1SHFS0001,IRO1SHFS0004,شفارس,صنایع‌ شیمیایی‌ فارس‌
11427387039523955,IRO3GOFZ0001,IRO3GOFZ0008,شفام,تولیدی و صنعتی گوهرفام
18951131806780945,IRR3GOFZ0101,IRR3GOFZ0100,شفامح,ح.تولیدی و صنعتی گوهرفام
65122215875355555,IRO1PFAN0001,IRO1PFAN0009,شفن,پتروشیمی فناوران
55622199783443721,IRR1PFAN0101,IRR1PFAN0101,شفنح,ح . پتروشیمی فناوران
56429431740318486,IRO7SHLP0001,IRO7SHLP0003,شلرد,کود شیمیایی اوره لردگان
39116664428676213,IRO1LEAB0001,IRO1LEAB0008,شلعاب,لعابیران‌
66183408418816482,IRR1LEAB0101,IRR1LEAB0100,شلعابح,ح . لعابیران‌
26025177574491991,IRO7LIAZ0001,IRO7LIAZ0000,شلیا,شرکت مواد ویژه لیا
59522975635235187,IRO3SMSZ0001,IRO3SMSZ0001,شمس,تولید انرژی برق شمس پاسارگاد
55862580907068610,IRO3MECZ0001,IRO3MECZ0005,شملی,ملی شیمی کشاورز
28251956446987982,IRO7MFMP0001,IRO7MFMP0000,شمواد,تولید مواداولیه الیاف مصنوعی
64659064562132185,IRT3SHMF0001,IRT3SHMF0007,شمیم,صندوق س.درآمدثابت شمیم تابان-د
14073782708315535,IRO1NPRS0001,IRO1NPRS0005,شنفت,نفت‌ پارس‌
9098178887955847,IRO1GMSH0001,IRO1GMSH0009,شهر,گروه مالی شهر
3493306453706327,IRO1SHOY0001,IRO1SHOY0005,شوینده,مدیریت صنعت شوینده ت.ص.بهشهر
61102694810476197,IRO1BMPS0001,IRO1BMPS0004,شپارس,بین‌ المللی‌ محصولات‌  پارس‌
9171279728707865,IRR1BMPS0101,IRR1BMPS0106,شپارسح,ح . بین‌ المللی‌محصولات پارس‌
35178706978554988,IRO3NPSZ0001,IRO3NPSZ0003,شپاس,نفت پاسارگاد
11622051128546106,IRO1PAKS0001,IRO1PAKS0007,شپاکسا,پاکسان‌
71957984642204570,IRO7APTP0001,IRO7APTP0005,شپترو,پتروشیمی آبادان
65472108074101196,IRR7APTP0101,IRR7APTP0107,شپتروح,ح . پتروشیمی آبادان
20562694899904339,IRO1PRDZ0001,IRO1PRDZ0008,شپدیس,پتروشیمی پردیس
28845264556937486,IRO7POIP0001,IRO7POIP0002,شپلی,پلی اکریل ایران
7745894403636165,IRO1PNES0001,IRO1PNES0000,شپنا,پالایش نفت اصفهان
69446612239102459,IRO3KICZ0001,IRO3KICZ0003,شکام,صنایع شیمیایی کیمیاگران امروز
56574323121551263,IRO7PKBP0001,IRO7PKBP0003,شکبیر,پتروشیمی امیرکبیر
27308217070238237,IRO1CRBN0001,IRO1CRBN0009,شکربن,کربن‌ ایران‌
58602432837130018,IRO7KAFP0001,IRO7KAFP0006,شکف,کف
62177651435283872,IRO1NKOL0001,IRO1NKOL0000,شکلر,نیروکلر
1050751214677134,IRO5PSGS0001,IRO5PSGS0009,شگامرن,مجتمع پترو صنعت گامرون
24696953498398744,IRO1SHGS0001,IRO1SHGS0003,شگستر,گسترش سوخت سبززاگرس(سهامی عام)
44153164692325703,IRO1GTSH0001,IRO1GTSH0002,شگل,گلتاش‌
46167643644457680,IRR1GTSH0101,IRR1GTSH0104,شگلح,ح . گلتاش‌
5987841496184505,IRO3TPEZ0001,IRO3TPEZ0003,شگویا,پتروشیمی تندگویان
38568786927478796,IRO1PSHZ0001,IRO1PSHZ0003,شیراز,پتروشیمی‌شیراز
35796086458096255,IRO1SSIN0001,IRO1SSIN0003,شیران,س. صنایع‌شیمیایی‌ایران
45205530868811305,IRT3SGAF0001,IRT3SGAF0002,صایند,صندوق س. گنجینه آینده روشن-د
33938004134399485,IRO1STIZ0001,IRO1STIZ0008,صبا,گروه مالی صبا تامین
64463015242763957,IRR3STIZ0101,IRR3STIZ0108,صباح,ح . گروه مالی صبا تامین
51285326016186930,IRT1SDAF0001,IRT1SDAF0007,صدف,صندوق س صدف سهام-سهام
47125023640770480,IRT3FF010001,IRT3FF010006,صنم,ص.س.صندوق در صندوق صنم
52846735736632974,IRT1NHAL0001,IRT1NHAL0000,صنهال,صندوق س. نهال ایرانیان-ثابت
68203878405672734,IRT1CSNF0001,IRT1CSNF0003,صنوین,صندوق سرمایه‌گذاری صنوین-مختلط
8367739891473433,IRBSGAZ00411,IRBSGAZ00418,صگاز04او,گواهی صرفه جویی گاز اوج0404
34783101642668133,IRBSGAZ04011,IRBSGAZ04014,صگاز04غ,گواهی صرفه جویی گازغیراوج0404
38356837895042988,IRT3TAZF0001,IRT3TAZF0008,ضمان,صندوق تضمین ا.سرمایه کاریزما-م
46700660505281786,IRTKLOTF0001,IRTKLOTF0009,طلا,صندوق س.پشتوانه طلای لوتوس
19060410060488876,IRT3NNGF0001,IRT3NNGF0002,طلوع,صندوق س.طلوع نوین ثابت-د
34213522001938649,IRO3ALSZ0001,IRO3ALSZ0002,عالیس,بهار رز عالیس چناران
30180206509447855,IRBKBTRY0511,IRBKBTRY0518,عباتری,سلف موازی باتری55 آمپر کرمان
46602366295421959,IRBKBEHR0551,IRBKBEHR0557,عبهروز,سلف موازی سس مایونز بهروز
1185549032856396,IRBKABAH03B1,IRBKABAH03B0,عبهمن,سلف خودرووانت کارا تک کابین
13327012090180555,IRT3ARSF0001,IRT3ARSF0009,عرش,صندوق س.عرش میلاد شهر-س
67574040984805133,IRBKZARN0561,IRBKZARN0563,عزرند,سلف فیلم شفاف لفاف صنعت زرند
39684786168651706,IRBKSABL05B1,IRBKSABL05B9,عسبلان,سلف موازی آرتا جوجه سبلان
20395250619225219,IRBKSIR10131,IRBKSIR10138,عسیرجان,سلف موازی کلوخه سنگ آهن سیرجان
71665335194832281,IRBKAE900381,IRBKAE900385,عشادگان,سلف آهن اسفنجی فولاد شادگان
6366366216425323,IRBKSAEB0571,IRBKSAEB0579,عصائب,سلف موازی میلگرد صائب تبریز
50627613119971282,IRBKGHAN0541,IRBKGHAN0543,عقرن,سلف موازی پدیده شیمی قرن
45452221088910484,IRT1AGHI0001,IRT1AGHI0004,عقیق,صندوق سرمایه گذاری عقیق-سهام
14058161288052046,IRBKMADI0561,IRBKMADI0561,عمادیران,سلف موازی کولر گازی مادیران
11410725390226728,IRBKAA001101,IRBKAA001105,عمیلگرد,سلف میلگرد آتیه خاورمیانه
51040923156442869,IRBKAPAK0541,IRBKAPAK0542,عپاکشو,سلف موازی گروه صنعتی پاکشو
4391382035434050,IRBKJPE10161,IRBKJPE10163,عپلی جم,سلف پلی اتیلن سنگین تزریقی
41755181288811036,IRBKKATD05A1,IRBKKATD05A7,عکاتد,سلف کاتد مس افق توسعه معادن
18447410942337623,IRBKARIA0551,IRBKARIA0551,عکیمیاتک,سلف موازی آریان کیمیاتک
34144395039913458,IRTKMOFD0001,IRTKMOFD0006,عیار,صندوق طلای عیار مفید
35158826900216508,IRO1PIAZ0001,IRO1PIAZ0002,غاذر,کشت‌وصنعت‌پیاذر
24303422207378456,IRO1KLBR0001,IRO1KLBR0001,غالبر,لبنیات‌ کالبر
53350307353645375,IRO1MNZN0001,IRO1MNZN0003,غانیزان,فرآورده های دامی ولبنی دالاهو
42387718866026650,IRO1SBEH0001,IRO1SBEH0004,غبشهر,صنعتی‌ بهشهر
71666521540545716,IRO7GKHP0001,IRO7GKHP0008,غبهار,کشت وصنعت بهاران گلبهار خراسان
17059960254855208,IRO1BENN0001,IRO1BENN0001,غبهنوش,بهنوش‌ ایران‌
2254054929817435,IRO1KDPS0001,IRO1KDPS0004,غدام,خوراک‌  دام‌ پارس‌
8234855558996646,IRO3KCOZ0001,IRO3KCOZ0005,غدانه,پنبه و دانه های روغنی خراسان
2434703913394836,IRO1DMOR0001,IRO1DMOR0004,غدشت,دشت‌ مرغاب‌
3492952121304423,IRO3PKDZ0001,IRO3PKDZ0003,غدیس,پاکدیس
4369934250728330,IRO1ZARM0001,IRO1ZARM0004,غزر,صنعتی زر ماکارون
28672095850798501,IRO1SLMN0001,IRO1SLMN0004,غسالم,سالمین‌
59921975187856916,IRO1SHPZ0001,IRO1SHPZ0003,غشاذر,پگاه‌آذربایجان‌غربی‌
31791737198597563,IRO1SPKH0001,IRO1SPKH0000,غشان,شیرپاستوریزه‌پگاه‌خراسان‌
61506294208022391,IRO1SPPE0001,IRO1SPPE0008,غشصفا,شیرپاستوریزه‌پگاه‌اصفهان‌
20487994977117557,IRO1SHAD0001,IRO1SHAD0006,غشهد,شهد ایران ‌
33611155027418901,IRO3SHHZ0001,IRO3SHHZ0001,غشهداب,کشت و صنعت شهداب ناب خراسان
51294484197536070,IRO7SPRP0001,IRO7SPRP0007,غشوکو,شوکو پارس
5289443384174453,IRR7SPRP0101,IRR7SPRP0109,غشوکوح,ح . شوکو پارس
71758511001096824,IRO3MINZ0001,IRO3MINZ0008,غصینو,صنعتی مینو
16410724132711490,IRO3GFRZ0001,IRO3GFRZ0005,غفارس,شیر پاستوریزه پگاه فارس
21501758781665781,IRO7MRGN0001,IRO7MRGN0006,غمارگ,مارگارین
59461185672081215,IRO3RAVZ0001,IRO3RAVZ0001,غمایه,شرکت خمیرمایه رضوی
6131290133202745,IRO1MRAM0001,IRO1MRAM0009,غمهرا,تولیدی‌مهرام‌
63552922113415543,IRR1MRAM0101,IRR1MRAM0101,غمهراح,ح . تولیدی‌مهرام‌
5516102131364383,IRO3MNOZ0001,IRO3MNOZ0000,غمینو,شرکت صنایع غذایی مینو شرق
8444217089800070,IRR3MNOZ0101,IRR3MNOZ0102,غمینوح,ح . شرکت صنایع غذایی مینو شرق
42470251469508137,IRO7RNAP0001,IRO7RNAP0009,غناب,روغن‌ نباتی‌ ناب
48619517949257749,IRO1NOSH0001,IRO1NOSH0008,غنوش,نوش‌ مازندران‌
21426277483799140,IRO5NSKS0001,IRO5NSKS0005,غنیلی,مجتمع تولیدی نیلی صنعت کرمان
25018856872742529,IRR5NSKS0101,IRR5NSKS0107,غنیلیح,ح.مجتمع تولیدی نیلی صنعت کرمان
37842793167868642,IRO3VITZ0001,IRO3VITZ0001,غویتا,ویتانا
10677799813511467,IRR3VITZ0101,IRR3VITZ0103,غویتاح,ح . ویتانا
45518744711972166,IRO3GHPZ0001,IRO3GHPZ0005,غپآذر,شیر پگاه آذربایجان شرقی
34032872653290886,IRO1LPAK0001,IRO1LPAK0004,غپاک,لبنیات‌ پاک‌
61978776664766359,IRO3NPMP0001,IRO3NPMP0001,غپونه,نوش پونه مشهد
18401147983387689,IRO1MINO0001,IRO1MINO0003,غپینو,پارس‌ مینو
44850033148208596,IRO1CHCH0001,IRO1CHCH0008,غچین,کشت‌ و صنعت‌ چین‌ چین
62404730109947970,IRO1KRSH0001,IRO1KRSH0008,غکورش,صنعت غذایی کورش
31024260997481994,IRO1GORJ0001,IRO1GORJ0006,غگرجی,بیسکویت‌  گرجی‌
57551382352708199,IRO5GSKS0001,IRO5GSKS0004,غگز,صنایع غذایی سکه
48711738663090812,IRR5GSKS0101,IRR5GSKS0106,غگزح,ح . گز سکه
22299894048845903,IRO1GCOZ0001,IRO1GCOZ0003,غگل,گلوکوزان‌
64843936383937546,IRO3PGLZ0001,IRO3PGLZ0009,غگلستا,شیر پاستوریزه پگاه گلستان
14312030900097668,IRO3PGPZ0001,IRO3PGPZ0005,غگلپا,شیر پاستوریزه پگاه گلپایگان
57300230097485720,IRO3PEGZ0001,IRO3PEGZ0008,غگیلا,شیرپاستوریزه پگاه گیلان
50652985928800943,IRO7KIVP0001,IRO7KIVP0008,غیوان,کیوان
56344907495802692,IRT3FARF0001,IRT3FARF0004,فاخر,صندوق س.ثروت افزون فاخر-د
38547060135156069,IRO1AZAB0001,IRO1AZAB0006,فاذر,صنایع‌ آذرآب‌
20865316761157979,IRO1MARK0001,IRO1MARK0001,فاراک,ماشین‌ سازی‌ اراک‌
67073295895957349,IRR1MARK0101,IRR1MARK0103,فاراکح,ح . ماشین‌ سازی‌ اراک‌
25244329144808274,IRO1PKLJ0001,IRO1PKLJ0005,فارس,صنایع پتروشیمی خلیج فارس
40422084765096890,IRT3FMKF0001,IRT3FMKF0007,فارما کیان,صندوق س. بخشی کیان-ب
31787507070992420,IRT1FARM0001,IRT1FARM0007,فارمانی,صندوق س آرمان آتی- بخشی
66701874099226162,IRO1KSIM0001,IRO1KSIM0002,فاسمین,کالسیمین‌
66021783818850713,IRO7FAFP0001,IRO7FAFP0003,فافزا,فولاد افزا سپاهان
22424135367941584,IRO7OKCZ0001,IRO7OKCZ0001,فافق,صنایع مس افق کرمان
65143045585577413,IRR7OKCZ0101,IRR7OKCZ0103,فافقح,ح . صنایع مس افق کرمان
71571639927013317,IRO3ALTP0001,IRO3ALTP0003,فالوم,آلومتک
34673681828119297,IRO1SAMA0001,IRO1SAMA0002,فاما,صنعتی‌ آما
44296315953738727,IRO7FAHP0001,IRO7FAHP0001,فاهواز,نورد و لوله اهواز
65004959184388996,IRO1ALIR0001,IRO1ALIR0006,فایرا,آلومینیوم‌ایران‌
66772024744156373,IRO1BAHN0001,IRO1BAHN0003,فباهنر,مس‌ شهیدباهنر
38101196401916411,IRR1BAHN0101,IRR1BAHN0105,فباهنرح,ح . مس‌ شهیدباهنر
4159532151694984,IRO7FBSP0001,IRO7FBSP0007,فبستم,صنایع ‌بسته‌بندی‌ مشهد
49399017998386087,IRO7BIRP0001,IRO7BIRP0005,فبیرا,بسته‌ بندی‌ ایران‌
23628442955387175,IRR7BIRP0101,IRR7BIRP0107,فبیراح,ح.بسته‌ بندی‌ ایران‌
55373808401388162,IRO3ILZZ0001,IRO3ILZZ0005,فتوسا,تولید و توسعه سرب روی ایرانیان
30765727085936322,IRO1JAMD0001,IRO1JAMD0000,فجام,جام‌دارو
41302553376174581,IRO1FAJR0001,IRO1FAJR0003,فجر,فولاد امیرکبیرکاشان
45507655586782998,IRO3SJSZ0001,IRO3SJSZ0006,فجهان,جهان فولاد سیرجان
8790413783522890,IRR3SJSZ0101,IRR3SJSZ0108,فجهانح,ح. مجتمع جهان فولاد سیرجان
64485827086284311,IRO7JSHP0001,IRO7JSHP0007,فجوش,جوش‌ و اکسیژن‌ ایران‌
4733285133017464,IRO1FKAS0001,IRO1FKAS0009,فخاس,فولاد خراسان
5550649038347558,IRR1FKAS0101,IRR1FKAS0101,فخاسح,ح . فولاد خراسان
28864540805361867,IRO1FKHZ0001,IRO1FKHZ0003,فخوز,فولاد  خوزستان
408934423224097,IRO1FRVR0001,IRO1FRVR0008,فرآور,فرآوری‌موادمعدنی‌ایران‌
31389079379596565,IRT3ALGF0001,IRT3ALGF0009,فرا الگوریتم,صندوق س.بخشی فرا الگوریتم1-ب
58741071099161284,IRO3FRBZ0001,IRO3FRBZ0000,فرابورس,فرابورس ایران
13666407494621646,IRT3FDKF0001,IRT3FDKF0008,فراز,صندوق س.سهام فراز داریک-س
65249046611427924,IRT1FRDA0001,IRT1FRDA0008,فردا,صندوق س آوای فردای زاگرس-ثابت
8602793697394313,IRT1FRST0001,IRT1FRST0000,فرصت,صندوق س فرصت آفرین سرمایه-سهام
51017863148152520,IRO3SSTZ0001,IRO3SSTZ0004,فرود,فولاد شاهرود
54419429862704331,IRO1FRIS0001,IRO1FRIS0004,فروس,فروسیلیس‌ ایران‌
44846320603450383,IRO3FERZ0001,IRO3FERZ0007,فروسیل,فروسیلیسیم خمین
69817338460284329,IRO3IFIZ0001,IRO3IFIZ0004,فروژ,صنایع فروآلیاژ ایران
29974853866926823,IRO3IZSZ0001,IRO3IZSZ0008,فروی,ذوب روی اصفهان
8175784894140974,IRO3PZAZ0001,IRO3PZAZ0009,فزر,پویا زرکان آق دره
43716452378323683,IRO3KZIZ0001,IRO3KZIZ0006,فزرین,زرین معدن آسیا
318005355896147,IRO7PFSP0001,IRO7PFSP0001,فسا,پتروشیمی فسا
14306042760194272,IRR7PFSP0101,IRR7PFSP0103,فساح,ح. پتروشیمی فسا
12874072841236826,IRO1FSAZ0001,IRO1FSAZ0002,فسازان,غلتک سازان سپاهان
22494526379345092,IRR1FSAZ0101,IRR1FSAZ0104,فسازانح,ح . غلتک سازان سپاهان
37284308569715577,IRO1FSBZ0001,IRO1FSBZ0001,فسبزوار,پارس فولاد سبزوار
20966291817819448,IRO7LSDP0001,IRO7LSDP0007,فسدید,لوله‌وتجهیزات‌ سدید - ورشکسته
54277068923045214,IRO1SORB0001,IRO1SORB0000,فسرب,ملی‌ سرب‌وروی‌ ایران‌
56375665074210467,IRO3SOJZ0001,IRO3SOJZ0000,فسوژ,سوژمیران
8977441217024425,IRO1SEPA0001,IRO1SEPA0005,فسپا,گروه‌صنعتی‌سپاهان‌
23557166059925779,IRO3SBLZ0001,IRO3SBLZ0001,فصبا,صبا فولاد خلیج فارس
65428095587909727,IRR3SBLZ0101,IRR3SBLZ0103,فصباح,ح . صبا فولاد خلیج فارس
4594500529766660,IRR7TFPA0101,IRR7TFPA0109,فطلوعح,ح . طلوع فولاد پارس
28147934478934110,IRO3GIRZ0001,IRO3GIRZ0002,فغدیر,آهن و فولاد غدیر ایرانیان
26352122361745211,IRR3GIRZ0101,IRR3GIRZ0104,فغدیرح,ح.آهن و فولاد غدیر ایرانیان
60633055620418060,IRO7FLTP0001,IRO7FLTP0004,فلات,گروه صنایع معادن فلات ایرانیان
25286509736208688,IRO1LAMI0001,IRO1LAMI0001,فلامی,لامیران‌
43664630566988630,IRT3FMTF0001,IRT3FMTF0008,فلزفارابی,صندوق س.بخشی فلز فارابی-ب
48623320733330408,IRO1LMIR0001,IRO1LMIR0002,فلوله,لوله‌وماشین‌سازی‌ایران‌
35445515321658835,IRO5MSCS0001,IRO5MSCS0006,فماک,ماداکتو استیل کرد
18004480270695404,IRO1ALMR0001,IRO1ALMR0000,فمراد,آلومراد
35425587644337450,IRO1MSMI0001,IRO1MSMI0000,فملی,ملی‌ صنایع‌ مس‌ ایران‌
55201604487356053,IRO7FANP0001,IRO7FANP0003,فن آوا,گروه فن آوا
61129444668227241,IRR7FANP0101,IRR7FANP0105,فن آواح,ح.گروه فن آوا
69171897374421261,IRO3TOTZ0001,IRO3TOTZ0007,فن افزار,توسعه فن افزار توسن
3329167699100936,IRT3VC060001,IRT3VC060004,فنابا,ص.س.ج. فناوری بازنشستگی
27276541005386425,IRO3PSFZ0001,IRO3PSFZ0003,فنر,پارس فنر
63965059137798192,IRO7FNRP0001,IRO7FNRP0004,فنرژی,گسترش صنایع انرژی آذرآب
58462435595049907,IRO3PEIZ0001,IRO3PEIZ0006,فنفت,صنایع تجهیزات نفت
55646799440726929,IRR3PEIZ0101,IRR3PEIZ0108,فنفتح,ح. صنایع تجهیزات نفت
57875847776839336,IRO1NALM0001,IRO1NALM0004,فنوال,نورد آلومینیوم‌
56324206651661881,IRO1NGFO0001,IRO1NGFO0004,فنورد,نوردوقطعات‌ فولادی‌
46348559193224090,IRO1FOLD0001,IRO1FOLD0009,فولاد,فولاد مبارکه اصفهان
40808043719554948,IRO1FAIR0001,IRO1FAIR0004,فولاژ,فولاد آلیاژی ایران
53249498382937694,IRR1FAIR0101,IRR1FAIR0106,فولاژح,ح.فولاد آلیاژی ایران
14800142337291217,IRO3FAYZ0001,IRO3FAYZ0002,فولای,صنایع فولاد آلیاژی یزد
66514709341259550,IRO7FVAP0001,IRO7FVAP0003,فوکا,فولاد کاویان
68488673556087148,IRO1SPTA0001,IRO1SPTA0008,فپنتا,سپنتا
70309338813767186,IRO7KPMP0001,IRO7KPMP0000,فکمند,گسترش قطعه سازی کمند
38294891095078093,IRR7KPMP0101,IRR7KPMP0102,فکمندح,ح. گسترش قطعه سازی کمند
8725363201030474,IRO3IZIZ0001,IRO3IZIZ0000,فگستر,گسترش صنایع روی ایرانیان
7502817477690380,IRR3IZIZ0101,IRR3IZIZ0102,فگسترح,ح . گسترش صنایع روی ایرانیان
10795723506538053,IRT1FIRO0001,IRT1FIRO0007,فیروزا,صندوق ارمغان فیروزه آسیا-ثابت
66036975502302203,IRT1CFIF0001,IRT1CFIF0005,فیروزه,صندوق شاخص30 شرکت فیروزه- سهام
10831074117626896,IRO7GHUP0001,IRO7GHUP0006,قاروم,قند ارومیه
34540569618314880,IRO3GASZ0001,IRO3GASZ0009,قاسم,قاسم ایران
35515916857426389,IRO7TSUP0001,IRO7TSUP0008,قتربت,قند تربت حیدریه
44967158778304588,IRO1GSBE0001,IRO1GSBE0005,قثابت,قند ثابت‌ خراسان‌
28230238564334914,IRO7GTOP0001,IRO7GTOP0000,قجام,فرآوردههای غذایی وقندتربت‌جام‌
21420579611076234,IRR7GTOP0101,IRR7GTOP0102,قجامح,ح.فرآورده غذایی وقندتربت‌جام
39610074039667804,IRO1GARN0001,IRO1GARN0006,قرن,پدیده شیمی قرن
32669817266382439,IRR1GARN0101,IRR1GARN0108,قرنح,ح . پدیده شیمی قرن
15259343650667588,IRO1GGAZ0001,IRO1GGAZ0005,قزوین,کارخانجات‌ قند قزوین‌
36671655475498480,IRO7SSUP0001,IRO7SSUP0009,قشرین,قند شیرین خراسان
4548649177325855,IRR7SSUP0101,IRR7SSUP0101,قشرینح,ح . قند شیرین خراسان
37631109616997982,IRO1GHND0001,IRO1GHND0005,قشهد,شهد
35964395659427029,IRO1SHKR0001,IRO1SHKR0008,قشکر,شکر
71523986304961239,IRO3GHSZ0001,IRO3GHSZ0002,قشیر,قند شیروان قوچان و بجنورد
40411537531154482,IRO1GESF0001,IRO1GESF0001,قصفها,قنداصفهان‌
56820995669577571,IRO1GLOR0001,IRO1GLOR0002,قلرست,قند لرستان‌
43342306308122676,IRO1GMRO0001,IRO1GMRO0001,قمرو,قند مرودشت‌
3050342257199174,IRO7NJSP0001,IRO7NJSP0009,قنقش,قند نقش جهان
63380098535169030,IRO1GNBO0001,IRO1GNBO0008,قنیشا,قند  نیشابور
55205982891279789,IRR1GNBO0101,IRR1GNBO0100,قنیشاح,ح . قند نیشابور
14398278072324784,IRO1GHEG0001,IRO1GHEG0003,قهکمت,قندهکمتان‌
67030488744129337,IRO1GPSH0001,IRO1GPSH0006,قپیرا,فرآورده‌های‌غدایی‌وقندپیرانشهر
23600798892801694,IRO3CHRZ0001,IRO3CHRZ0007,قچار,فراوردههای غذایی وقند چهارمحال
6237807001018762,IRTKGHIR0001,IRTKGHIR0004,قیراط,صندوق س.پشتوانه طلای دماوند
4267564158935326,IRO7BSOP0001,IRO7BSOP0006,قیستو,شرکت قند بیستون
66974398910717440,IRR7BSOP0101,IRR7BSOP0108,قیستوح,ح . شرکت قند بیستون
63363116407864462,IRO1ASAL0001,IRO1ASAL0003,لابسا,آبسال‌
50368344235826302,IRO7AZMP0001,IRO7AZMP0000,لازما,کارخانه های صنعتی آزمایش
31569200988534548,IRT3LABF0001,IRT3LABF0004,لبخند,صندوق س. لبخند فارابی-د
30650426998863332,IRO1BOTA0001,IRO1BOTA0008,لبوتان,گروه‌صنعتی‌بوتان‌
56006915451245411,IRO7LKPP0001,IRO7LKPP0001,لخانه,لوازم‌ خانگی‌ پارس‌
64124003812404302,IRR7LKPP0101,IRR7LKPP0103,لخانهح,ح.لوازم‌ خانگی‌ پارس‌
65414507129586385,IRO1KHAZ0001,IRO1KHAZ0008,لخزر,پارس‌ خزر
55897939403232751,IRO1SRMA0001,IRO1SRMA0003,لسرما,سرما آفرین‌
16422980660132735,IRO3LPCZ0001,IRO3LPCZ0003,لطیف,محصولات کاغذی لطیف
